file_name,add,Domain,Phyla,CARD,Comment,HORTUS,Latin_name,CAT,ITA_CAT,CAT_Description,description,link,video,ITA_names,ITA_descr,CAT_ITA_descrizione,Number,NL,NL_descriptie,NLcat,CAT_NL_descriptie,English_name,Points,Climate,ITA_Climate,NL_Climate,Deadly_to_humans,venomous,poisonous,interesting_reproduction,plant_propagator,Pollinators,Extreme_Enviroments,Symbiotic_relationship,Complec_social_structures_or_intelligence,,,CAT_Descr-OLD
1-covid-19,Virus,Virus,,Micro-Macro,,,SARS-CoV-2,   ,,"""<p>VIRUSES are not alive: they do not have cells, cannot turn food into energy, and without a host, they are just a bunch of chemicals.</p><p>Viruses are not exactly dead, either: they have genes, reproduce, and evolve through natural selection.</p>""","""<p>It has been identified for the first time in 2019 in Wuhan (China,) and it spread quickly in the whole world causing the fastest spreading pandemic ever registered.</p><p>In 2020 several vaccines have been found, starting the fastest and biggest vaccine campaign ever set up!</p>""",https://www.ted.com/talks/kaitlyn_sadtler_and_elizabeth_wayne_how_the_covid_19_vaccines_were_created_so_quickly?language=en,https://www.youtube.com/watch?v=v-NEr3KCug8,Covid,"""<p>È stato identificato per la prima volta nel 2019 a Wuhan (Cina) e si è diffuso rapidamente in tutto il mondo, causando la pandemia più rapida mai registrata.</p><p>Nel 2020 sono stati trovati diversi vaccini, dando il via alla più rapida e grande campagna vaccinale al di sempre!</p>""","""<p>I VIRUS non sono vivi: non hanno cellule, non possono trasformare il cibo in energia e, senza un ospite, sono solo un mucchio di sostanze chimiche.</p><p>Ma i virus sono neanche esattamente morti: hanno geni, si riproducono ed evolvono attraverso la selezione naturale.</p>""",00001,Covid,"""<p>Voor het eerst geïdentificeerd in 2019 in Wuhan (China), waarna het zich zo snel over de wereld verspreidde dat het de snelst verspreidende pandemie is die ooit is geregistreerd.</p> """,Virussen,"“<p>Virussen leven niet: ze hebben geen cellen, kunnen geen voedsel omzetten in energie en zonder gastheer zijn het gewoon een hoop chemische stoffen. </p> <p>Virussen zijn ook niet echt dood: ze hebben genen, planten zich voort en evolueren door natuurlijke selectie.</p>”",Covid,1,Infects humans and causes illness and little ecosystem benefits.,"Infetta gli esseri umani e causa malattie, con pochi benefici per l’ecosistema.","Besmet mensen en veroorzaakt ziekte, weinig voordelen voor het ecosysteem.",1,,,,,,,,,,,"""<p>VIRUSES are not alive: they do not have cells, cannot turn food into energy, and without a host, they are just a bunch of chemicals.</p><p>Viruses are not exactly dead, either: they have genes, reproduce, and evolve through natural selection.</p>"""
2-tobacco-mosaic-virus,Virus,Virus,,Micro-Macro,,,TMV,Virus,Virus,"""<p>VIRUSES are not alive: they do not have cells, cannot turn food into energy, and without a host, they are just a bunch of chemicals.</p><p>Viruses are not exactly dead, either: they have genes, reproduce, and evolve through natural selection.</p>""","""<p>This is the first virus ever identified!</p><p>In 1882 the disease was isolated and seen that could be transmitted to healthy tobacco plants from diseased plants.</p><p>In 1892 it was demonstraed that the disease could pass through a bacteria-retaining filter and so that the cause was smaller of the bacteria: it has been called virus.</p>''",https://www.youtube.com/watch?v=l6hig9Ii-sY,https://www.youtube.com/watch?v=rMxeUWmcxMw,Mosaico del Tabacco,"""<p>This is the first virus ever identified!</p><p>In 1882 the disease was isolated and seen that could be transmitted to healthy tobacco plants from diseased plants.</p><p>In 1892 it was demonstrated that the disease could pass through a bacteria-retaining filter and so that the cause was smaller of the bacteria: it has been called virus.</p>''","""<p>I VIRUS non sono vivi: non hanno cellule, non possono trasformare il cibo in energia e, senza un ospite, sono solo un mucchio di sostanze chimiche.</p><p>Ma i virus sono neanche esattamente morti: hanno geni, si riproducono ed evolvono attraverso la selezione naturale.</p>""",00002,Tabaksmozaïeksvirus,“<p>Dit is het eerste virus dat ooit is geïdentificeerd! <p> <p>In 1882 werd de ziekte geïsoleerd en werd gezien dat deze van zieke tabaksplanten kon worden overgedragen op gezonde tabaksplanten.</p> <p> In 1892 werd aangetoond dat de ziekte door een bacteriefilter kon en dat de oorzaak dus kleiner was dan de bacteriën: het werd virus genoemd.</p>”,Virussen,"“<p>Virussen leven niet: ze hebben geen cellen, kunnen geen voedsel omzetten in energie en zonder gastheer zijn het gewoon een hoop chemische stoffen. </p> <p>Virussen zijn ook niet echt dood: ze hebben genen, planten zich voort en evolueren door natuurlijke selectie.</p>”",Tobacco mosaic virus,1,Harms plants and offers little biodiversity value.,Danneggia le piante e offre scarso valore alla biodiversità.,Schadelijk voor planten en biedt weinig waarde voor de biodiversiteit.,,,,,,,,,,,,"""<p>VIRUSES are not alive: they do not have cells, cannot turn food into energy, and without a host, they are just a bunch of chemicals.</p><p>Viruses are not exactly dead, either: they have genes, reproduce, and evolve through natural selection.</p>"""
3-teseptimavirus-bacteriophagae,Virus,Virus,,Micro-Macro,,,Teseptimavirus,Virus,Virus,"""<p>VIRUSES are not alive: they do not have cells, cannot turn food into energy, and without a host, they are just a bunch of chemicals.</p><p>Viruses are not exactly dead, either: they have genes, reproduce, and evolve through natural selection.</p>""","""<p>Viruses that eat bacteria, called bacteriophages are among the most common and diverse viruses. Scientists use them as an alternative to antibiotics.</p> <p> Some of them have size, genes, and complexity considered typical of life. Because of this, they seem to blur the line between viruses and life itself!</p>""",https://www.youtube.com/watch?v=l6hig9Ii-sY,https://www.youtube.com/watch?v=XIdMeDOy8AY,Mangiatore di Batteri,"""<p>I virus che infettano i batteri, chiamati batteriofagi, sono tra i virus più comuni e diversificati. Gli scienziati li usano in alternativa agli antibiotici.</p> <p> Alcuni di essi hanno dimensioni, geni e complessità considerati tipici della vita. Per questo motivo, sembrano confondere il confine tra virus e vita stessa!</p>""","""<p>I VIRUS non sono vivi: non hanno cellule, non possono trasformare il cibo in energia e, senza un ospite, sono solo un mucchio di sostanze chimiche.</p><p>Ma i virus sono neanche esattamente morti: hanno geni, si riproducono ed evolvono attraverso la selezione naturale.</p>""",00003,Bacteriofaag,"""<p>Ze behoren tot de meest voorkomende en meest diverse virussen. Ze worden gebruikt als alternatief voor antibiotica. </p> <p>Honderden ervan hebben de grootte, genen en complexiteit die als typisch voor het leven worden beschouwd, waardoor de grens tussen levende microben en virale machines vervaagt.</p>""",Virussen,"“<p>Virussen leven niet: ze hebben geen cellen, kunnen geen voedsel omzetten in energie en zonder gastheer zijn het gewoon een hoop chemische stoffen. </p> <p>Virussen zijn ook niet echt dood: ze hebben genen, planten zich voort en evolueren door natuurlijke selectie.</p>”",Bacteriophagae,1,Destroys bacteria with minimal impact on biodiversity.,Distrugge i batteri ma ha un impatto minimo sulla biodiversità.,Vernietigt bacteriën met minimale impact op de biodiversiteit.,,,,,,,,1,,,,"""<p>VIRUSES are not alive: they do not have cells, cannot turn food into energy, and without a host, they are just a bunch of chemicals.</p><p>Viruses are not exactly dead, either: they have genes, reproduce, and evolve through natural selection.</p>"""
4-archea-procatiota-Pyrococcus-furiosus,Prokaryote,Archea,Archea,Micro-Macro,,,Pyrococcus furiosus,Archea-Bacteria-Protozoa,Archea-Batteri-Protozoi,"""<p>ARCHEA are single cell organisms.They are the most similar to the first-ever species that lived on Earth.</p><p><p>Oxygen on Earth was first produced by BACTERIA through a process called photosynthesis that uses water, carbon dioxide and the energy from the Sun.</p><p>PROTOZOA means first animals in Greek. The name was given because of their animal behaviour and the belief that they are descendants of the earliest or first forms of life. Some survive themselves, others as parasites of plants or animals.</p>""","""<p>Aquatic, its optimum growth temperature is 100°C: boiling water that would destroy most living things.</p> <p> They live super close to the underwater volcanic vents, like the first organisms that ever existed.</p>""",https://www.researchgate.net/publication/313848564_'_Pyrococcus_furiosus_30_years_on',https://www.youtube.com/watch?v=_MR_Nkwg8FU,Palla di fuoco impetuosa,"""<p>Acquatici, la loro temperatura di crescita ottimale è di 100 °C: acqua bollente che distruggerebbe la maggior parte degli esseri viventi.</p> <p> Vivono molto vicini alle bocche vulcaniche sottomarine, come i primi organismi mai esistiti.</p>""","""<p>Gli ARCHEA sono organismi unicellulari. Sono i più simili alle prime specie vissute sulla Terra.</p><p><p>L'ossigeno sulla Terra è stato prodotto per la prima volta dai BATTERI attraverso un processo chiamato fotosintesi, che utilizza acqua, anidride carbonica e l'energia del Sole.</p><p>PROTOZOI significa primi animali in greco. Il nome deriva dal loro comportamento animale e dalla credenza che fossero discendenti delle prime forme di vita. Alcuni sopravvivono da soli, altri come parassiti di piante o animali.</p>""",00004,Pyrococcus furiosus,"""<p>Aquatisch, zijn optimale groeitemperatuur is 100°C: kokend water dat de meeste levende wezens zou vernietigen.</p> <p> Ze leven superdicht bij vulkaankraters, net als de eerste organismen die ooit hebben bestaan.</p>""",Archaea-Bacteriën-Protozoa,"<p>ARCHAEA zijn eencellige organismen die het meest lijken op de allereerste soorten die op aarde leefden.</p><p>Zuurstof op aarde werd voor het eerst geproduceerd door BACTERIA via een proces dat fotosynthese wordt genoemd en dat gebruikmaakt van water, kooldioxide en de energie van de zon.</p><p>PROTOZOA betekent eerste dieren in het Grieks. De naam werd gegeven vanwege hun dierlijke gedrag en het geloof dat ze afstammen van de vroegste of eerste levensvormen. Sommigen overleven zelf, anderen als parasieten van planten of dieren.</p>",Rushing fireball,1,"Influences only local microbes, not wider ecosystems.","Influenza solo i microbi locali, non gli ecosistemi più ampi.","Beïnvloedt alleen lokale microben, niet bredere ecosystemen.",,,,,,,,,,,,"""<p>ARCHEA are single cell organisms.They are the most similar to the first-ever species that lived on Earth.</p><p><p>Oxygen on Earth was first produced by BACTERIA through a process called photosynthesis that uses water, carbon dioxide and the energy from the Sun.</p><p>PROTOZOA means first animals in Greek. The name was given because of their animal behaviour and the belief that they are descendants of the earliest or first forms of life. Some survive themselves, others as parasites of plants or animals.</p>"""
5-eubatteria-procatiota-spirochaeta-thermphila,Prokaryote,Bacteria,Spirochaetota,Micro-Macro,,,Spirochaeta thermophila,Archea-Bacteria-Protozoa,Archea-Batteri-Protozoi,"""<p>ARCHEA are single cell organisms.They are the most similar to the first-ever species that lived on Earth.</p><p><p>Oxygen on Earth was first produced by BACTERIA through a process called photosynthesis that uses water, carbon dioxide and the energy from the Sun.</p><p>PROTOZOA means first animals in Greek. The name was given because of their animal behaviour and the belief that they are descendants of the earliest or first forms of life. Some survive themselves, others as parasites of plants or animals.</p>""","""<p>Aquatic, its optimum growth temperature is 68°C, still super hot.</p> <p> The name comes from the shape, because it looks really like a long spiral.</p>""",https://www.youtube.com/watch?v=W70l5UE6Om4,https://www.youtube.com/watch?v=W70l5UE6Om4,Spirobatteri amanti del calore,"""<p>Acquatica, la sua temperatura di crescita ottimale è di 68°C, comunque molto calda.</p> <p>Il nome deriva dalla forma, perché assomiglia davvero a una lunga spirale.</p>""","""<p>Gli ARCHEA sono organismi unicellulari. Sono i più simili alle prime specie vissute sulla Terra.</p><p><p>L'ossigeno sulla Terra è stato prodotto per la prima volta dai BATTERI attraverso un processo chiamato fotosintesi, che utilizza acqua, anidride carbonica e l'energia del Sole.</p><p>PROTOZOI significa primi animali in greco. Il nome deriva dal loro comportamento animale e dalla credenza che fossero discendenti delle prime forme di vita. Alcuni sopravvivono da soli, altri come parassiti di piante o animali.</p>""",00005,Warmteminnende bacteriën,"""<p>Aquatisch, zijn optimale groeitemperatuur is 68°C, nog steeds superheet. </p> <p>De naam komt van de vorm, want hij lijkt echt op een lange spiraal.</p>""",Archaea-Bacteriën-Protozoa,"<p>ARCHAEA zijn eencellige organismen die het meest lijken op de allereerste soorten die op aarde leefden.</p><p>Zuurstof op aarde werd voor het eerst geproduceerd door BACTERIA via een proces dat fotosynthese wordt genoemd en dat gebruikmaakt van water, kooldioxide en de energie van de zon.</p><p>PROTOZOA betekent eerste dieren in het Grieks. De naam werd gegeven vanwege hun dierlijke gedrag en het geloof dat ze afstammen van de vroegste of eerste levensvormen. Sommigen overleven zelf, anderen als parasieten van planten of dieren.</p>",Heat loving bacteria,1,"Impact on local ecosystems, but little importance for wider habitat.","Ha un impatto sugli ecosistemi locali, ma poca importanza per l’habitat più esteso.",Impact op lokale ecosystemen maar weinig belang voor het bredere habitat.,,,,,,,1,,,,,"""<p>ARCHEA are single cell organisms.They are the most similar to the first-ever species that lived on Earth.</p><p><p>Oxygen on Earth was first produced by BACTERIA through a process called photosynthesis that uses water, carbon dioxide and the energy from the Sun.</p><p>PROTOZOA means first animals in Greek. The name was given because of their animal behaviour and the belief that they are descendants of the earliest or first forms of life. Some survive themselves, others as parasites of plants or animals.</p>"""
6-eubacteria-streptococcus-penumoniae,Prokaryote,Bacteria,Bacillota,Micro-Macro,,,Streptococcus pneumoniae,Archea-Bacteria-Protozoa,Archea-Batteri-Protozoi,"""<p>ARCHEA are single cell organisms.They are the most similar to the first-ever species that lived on Earth.</p><p><p>Oxygen on Earth was first produced by BACTERIA through a process called photosynthesis that uses water, carbon dioxide and the energy from the Sun.</p><p>PROTOZOA means first animals in Greek. The name was given because of their animal behaviour and the belief that they are descendants of the earliest or first forms of life. Some survive themselves, others as parasites of plants or animals.</p>""","""<p>It was first discovered by Louis Pasteur in 1881.</p><p>Louis Pasteur (1822-1895) was a French biologist, microbiologist and chemist famous for his discoveries. Here are just a few of them:</p><p>- the principles of vaccination,</p><p>- microbial fermentation</p><p>-pasteurization.</p><p>His work has saved many lives.</p>""",https://www.youtube.com/watch?v=AboUxEuCGvk,https://www.youtube.com/watch?v=AboUxEuCGvk,Polmonite da streptococco,"""<p>It was first discovered by Louis Pasteur in 1881.</p><p>Louis Pasteur (1822-1895) was a French biologist, microbiologist and chemist famous for his discoveries. Here are just a few of them:</p><p>- the principles of vaccination,</p><p>- microbial fermentation</p><p>-pasteurization.</p><p>His work has saved many lives.</p>""","""<p>Gli ARCHEA sono organismi unicellulari. Sono i più simili alle prime specie vissute sulla Terra.</p><p><p>L'ossigeno sulla Terra è stato prodotto per la prima volta dai BATTERI attraverso un processo chiamato fotosintesi, che utilizza acqua, anidride carbonica e l'energia del Sole.</p><p>PROTOZOI significa primi animali in greco. Il nome deriva dal loro comportamento animale e dalla credenza che fossero discendenti delle prime forme di vita. Alcuni sopravvivono da soli, altri come parassiti di piante o animali.</p>""",00006,Pneumokokken,"""<p>Louis Pasteur (1822-1895) was een Franse bioloog, microbioloog en chemicus die beroemd is om zijn ontdekkingen. Hier zijn er een paar van: </p> <p>- de principes van vaccinatie </p> <p>- microbiële fermentatie </p> <p> -pasteurisatie</p> <p> Zijn werk heeft veel levens gered.</p> """,Archaea-Bacteriën-Protozoa,"<p>ARCHAEA zijn eencellige organismen die het meest lijken op de allereerste soorten die op aarde leefden.</p><p>Zuurstof op aarde werd voor het eerst geproduceerd door BACTERIA via een proces dat fotosynthese wordt genoemd en dat gebruikmaakt van water, kooldioxide en de energie van de zon.</p><p>PROTOZOA betekent eerste dieren in het Grieks. De naam werd gegeven vanwege hun dierlijke gedrag en het geloof dat ze afstammen van de vroegste of eerste levensvormen. Sommigen overleven zelf, anderen als parasieten van planten of dieren.</p>",Pneumonia,1,Human-infecting bacterium with little biodiversity role.,Batterio che infetta l’uomo con un ruolo minimo nella biodiversità.,Bacterie die mensen infecteert en weinig invloed heeft op de biodiversiteit.,1,,,,,,1,,,,,"""<p>ARCHEA are single cell organisms.They are the most similar to the first-ever species that lived on Earth.</p><p><p>Oxygen on Earth was first produced by BACTERIA through a process called photosynthesis that uses water, carbon dioxide and the energy from the Sun.</p><p>PROTOZOA means first animals in Greek. The name was given because of their animal behaviour and the belief that they are descendants of the earliest or first forms of life. Some survive themselves, others as parasites of plants or animals.</p>"""
7-eubacteria-anabaenopsis-elekinii,,,,Micro-Macro,,,Anabaenopsis elekinii,Archea-Bacteria-Protozoa,Archea-Batteri-Protozoi,"""<p>ARCHEA are single cell organisms.They are the most similar to the first-ever species that lived on Earth.</p><p><p>Oxygen on Earth was first produced by BACTERIA through a process called photosynthesis that uses water, carbon dioxide and the energy from the Sun.</p><p>PROTOZOA means first animals in Greek. The name was given because of their animal behaviour and the belief that they are descendants of the earliest or first forms of life. Some survive themselves, others as parasites of plants or animals.</p>""","""<p>They are considered the most primitive groups of photosynthetic bacteria.</p><p>They are everywhere in nature and they also thrive in deserts, hot springs and ice-cold water.</p>""",https://www.youtube.com/watch?v=ea0EHw5suDs,https://www.youtube.com/watch?v=ea0EHw5suDs,Cianobatteri,"""<p>Sono considerati i gruppi più primitivi di batteri fotosintetici.</p><p>Sono presenti ovunque in natura e prosperano anche in deserti, sorgenti termali e acque ghiacciate.</p>""","""<p>Gli ARCHEA sono organismi unicellulari. Sono i più simili alle prime specie vissute sulla Terra.</p><p><p>L'ossigeno sulla Terra è stato prodotto per la prima volta dai BATTERI attraverso un processo chiamato fotosintesi, che utilizza acqua, anidride carbonica e l'energia del Sole.</p><p>PROTOZOI significa primi animali in greco. Il nome deriva dal loro comportamento animale e dalla credenza che fossero discendenti delle prime forme di vita. Alcuni sopravvivono da soli, altri come parassiti di piante o animali.</p>""",00007,Cyano bacteriën,"""<p>Ze worden beschouwd als de meest primitieve groepen fotosynthetische bacteriën.</p> <p> Ze komen overal in de natuur voor en gedijen ook in woestijnen, hete bronnen en ijskoud water.</p>""",Archaea-Bacteriën-Protozoa,"<p>ARCHAEA zijn eencellige organismen die het meest lijken op de allereerste soorten die op aarde leefden.</p><p>Zuurstof op aarde werd voor het eerst geproduceerd door BACTERIA via een proces dat fotosynthese wordt genoemd en dat gebruikmaakt van water, kooldioxide en de energie van de zon.</p><p>PROTOZOA betekent eerste dieren in het Grieks. De naam werd gegeven vanwege hun dierlijke gedrag en het geloof dat ze afstammen van de vroegste of eerste levensvormen. Sommigen overleven zelf, anderen als parasieten van planten of dieren.</p>",Cyano bacteria,2,"Nitrogen-fixing, supports aquatic biodiversity and food chains.","Fissa l’azoto, sostiene la biodiversità acquatica e le catene alimentari.","Stikstofbindend, ondersteunt de aquatische biodiversiteit en voedselketens.",,,,,,,1,1,,,,"""<p>ARCHEA are single cell organisms.They are the most similar to the first-ever species that lived on Earth.</p><p><p>Oxygen on Earth was first produced by BACTERIA through a process called photosynthesis that uses water, carbon dioxide and the energy from the Sun.</p><p>PROTOZOA means first animals in Greek. The name was given because of their animal behaviour and the belief that they are descendants of the earliest or first forms of life. Some survive themselves, others as parasites of plants or animals.</p>"""
8-Amoeba,,,,Micro-Macro,,,Pelomyxa palustris,Archea-Bacteria-Protozoa,Archea-Batteri-Protozoi,"""<p>ARCHEA are single cell organisms.They are the most similar to the first-ever species that lived on Earth.</p><p><p>Oxygen on Earth was first produced by BACTERIA through a process called photosynthesis that uses water, carbon dioxide and the energy from the Sun.</p><p>PROTOZOA means first animals in Greek. The name was given because of their animal behaviour and the belief that they are descendants of the earliest or first forms of life. Some survive themselves, others as parasites of plants or animals.</p>""","""<p>Amoebae do not have a fixed body shape and are similar to a blob of jelly</p><p>By changing its shape, the amoeba creates leg/feet-like extensions of its body, which it uses to move around or gather food.</p><p>This particular amoeba can grow up to 5 millimeters! Luckily it is herbivorous.</p>""",https://www.youtube.com/watch?v=vlANF-v9lb0,https://www.youtube.com/watch?v=vlANF-v9lb0,Ameba,"""<p>Le amebe non hanno una forma corporea fissa, sono in pratica una massa gelatinosa.</p><p>Cambiando forma, l'ameba crea estensioni del corpo simili a zampe/piedi, che usa per muoversi o raccogliere cibo.</p><p>Questa particolare ameba può crescere fino a 5 millimetri! Per fortuna è erbivora.</p>""","""<p>Gli ARCHEA sono organismi unicellulari. Sono i più simili alle prime specie vissute sulla Terra.</p><p><p>L'ossigeno sulla Terra è stato prodotto per la prima volta dai BATTERI attraverso un processo chiamato fotosintesi, che utilizza acqua, anidride carbonica e l'energia del Sole.</p><p>PROTOZOI significa primi animali in greco. Il nome deriva dal loro comportamento animale e dalla credenza che fossero discendenti delle prime forme di vita. Alcuni sopravvivono da soli, altri come parassiti di piante o animali.</p>""",00008,Amoebe,"""<p>Door zijn vorm te veranderen, creëert de amoebe pootachtige verlengstukken aan zijn lichaam, die hij gebruikt om zich voort te bewegen of voedsel te verzamelen. Deze amoebe kan wel 5 millimeter groot worden! Gelukkig is het een planteneter.</p>""",Archaea-Bacteriën-Protozoa,"<p>ARCHAEA zijn eencellige organismen die het meest lijken op de allereerste soorten die op aarde leefden.</p><p>Zuurstof op aarde werd voor het eerst geproduceerd door BACTERIA via een proces dat fotosynthese wordt genoemd en dat gebruikmaakt van water, kooldioxide en de energie van de zon.</p><p>PROTOZOA betekent eerste dieren in het Grieks. De naam werd gegeven vanwege hun dierlijke gedrag en het geloof dat ze afstammen van de vroegste of eerste levensvormen. Sommigen overleven zelf, anderen als parasieten van planten of dieren.</p>",Amoeba,1,Freshwater amoeba recycling nutrients; limited broader ecological impact.,Ameba d’acqua dolce che ricicla i nutrienti; impatto ecologico complessivo limitato.,"Zoetwateramoeben recyclen voedingsstoffen, beperkte bredere ecologische impact.",,,,,,,1,,,,,"""<p>ARCHEA are single cell organisms.They are the most similar to the first-ever species that lived on Earth.</p><p><p>Oxygen on Earth was first produced by BACTERIA through a process called photosynthesis that uses water, carbon dioxide and the energy from the Sun.</p><p>PROTOZOA means first animals in Greek. The name was given because of their animal behaviour and the belief that they are descendants of the earliest or first forms of life. Some survive themselves, others as parasites of plants or animals.</p>"""
9-chanoflagellates,,,,Micro-Macro,,,Salpingoeca rosetta,Archea-Bacteria-Protozoa,Archea-Batteri-Protozoi,"""<p>ARCHEA are single cell organisms.They are the most similar to the first-ever species that lived on Earth.</p><p><p>Oxygen on Earth was first produced by BACTERIA through a process called photosynthesis that uses water, carbon dioxide and the energy from the Sun.</p><p>PROTOZOA means first animals in Greek. The name was given because of their animal behaviour and the belief that they are descendants of the earliest or first forms of life. Some survive themselves, others as parasites of plants or animals.</p>""","""<p>They are among the most common groups. They live in fresh and marine water, everywhere in the ground, abundant in polar waters. You can also find them in the deep abysses of the oceans and in the permafrost of Siberia.</p><p>So, maybe you’re touching one right now!</p>""",https://www.youtube.com/watch?v=n_tvhnWAZMA,https://www.youtube.com/watch?v=n_tvhnWAZMA,Choanoflagellato,"<p>Sono tra i gruppi più comuni. Vivono in acqua dolce e marina, ovunque nel terreno, abbondanti nelle acque polari. Li si può trovare anche negli abissi profondi degli oceani e nel permafrost della Siberia.</p><p>Quindi, forse ne stai toccando uno proprio ora!</p>","""<p>Gli ARCHEA sono organismi unicellulari. Sono i più simili alle prime specie vissute sulla Terra.</p><p><p>L'ossigeno sulla Terra è stato prodotto per la prima volta dai BATTERI attraverso un processo chiamato fotosintesi, che utilizza acqua, anidride carbonica e l'energia del Sole.</p><p>PROTOZOI significa primi animali in greco. Il nome deriva dal loro comportamento animale e dalla credenza che fossero discendenti delle prime forme di vita. Alcuni sopravvivono da soli, altri come parassiti di piante o animali.</p>""",00009,Choanoflagellaat,"""<p>Ze behoren tot de meest voorkomende groepen.</p> <p> Ze leven in zoet water en zeewater, overal in de grond, overvloedig in poolwateren. Je vindt ze ook in de diepe afgronden van de oceanen en in de permafrost van Siberië. Dus misschien raak je er nu wel eentje aan!</p>""",Archaea-Bacteriën-Protozoa,"<p>ARCHAEA zijn eencellige organismen die het meest lijken op de allereerste soorten die op aarde leefden.</p><p>Zuurstof op aarde werd voor het eerst geproduceerd door BACTERIA via een proces dat fotosynthese wordt genoemd en dat gebruikmaakt van water, kooldioxide en de energie van de zon.</p><p>PROTOZOA betekent eerste dieren in het Grieks. De naam werd gegeven vanwege hun dierlijke gedrag en het geloof dat ze afstammen van de vroegste of eerste levensvormen. Sommigen overleven zelf, anderen als parasieten van planten of dieren.</p>",Chanoflagellates,1,Microbe supporting only local microbial communities.,Microrganismo che sostiene solo comunità microbiche locali.,Microbe die alleen lokale microbiële gemeenschappen ondersteunt.,,,,,,,,,,,,"""<p>ARCHEA are single cell organisms.They are the most similar to the first-ever species that lived on Earth.</p><p><p>Oxygen on Earth was first produced by BACTERIA through a process called photosynthesis that uses water, carbon dioxide and the energy from the Sun.</p><p>PROTOZOA means first animals in Greek. The name was given because of their animal behaviour and the belief that they are descendants of the earliest or first forms of life. Some survive themselves, others as parasites of plants or animals.</p>"""
10-Choccolitus-of-the-sea,,,,Red-Algae,they don't give points for evooolve but they are very important for the enviroment,,Emiliania huxleyi,Red-algae,Alghe Rosse,"""<p>Some CHROMISTA use photosynthesis to convert light into energy, releasing oxygen.</p> <p>They can be very small (like the unicellular cells that form plankton) or very large (Sargassos kelp are tens of meters long).</p>""","""<p>Coccolitus are some of the most abundant marine phytoplankton, especially in the open ocean, and are extremely abundant as microfossils, forming chalk. </p><p>They are widely used in the aquaculture industry to feed oyster and shrimp larvae.</p>""",https://www.youtube.com/watch?v=1xl5Z1d3wcQ,https://www.youtube.com/watch?v=1xl5Z1d3wcQ,Plancton vegetale,"""<p>I coccolitus sono tra i fitoplancton marini più abbondanti, soprattutto in mare aperto. Sono estremamente abbondanti come microfossili, tanto da formare il gesso. </p> <p>Sono molto utilizzati nel settore dell'acquacoltura per nutrire le larve di ostriche e gamberetti.</p>""","""<p>Alcuni CHROMISTA usano la fotosintesi per convertire la luce in energia, rilasciando ossigeno.</p> <p>Possono essere molto piccoli (come le cellule unicellulari che formano il plancton) o molto grandi (le alghe dei Sargassi sono lunghe decine di metri).</p>""",00010,Emiliania huxleyi,"""<p>Coccolithoforen behoren tot de meest voorkomende mariene fytoplankton, vooral in de open oceaan, en zijn extreem overvloedig als microfossielen, die krijt vormen.</p> <p> Ze worden veel gebruikt in de aquacultuurindustrie om oester- en garnalenlarven te voeden.</p>""",Rode algen,"“<p>Sommige CHROMISTA gebruiken fotosynthese om licht om te zetten in energie, waarbij zuurstof vrijkomt.</p> <p>Ze kunnen heel klein zijn (zoals de eencellige cellen die plankton vormen) of heel groot (Sargassum kelp is tientallen meters lang).</p>”",Plant Plankton,2,Plankton helping carbon cycling and ocean biodiversity.,Plancton che contribuisce al ciclo del carbonio e alla biodiversità oceanica.,Plankton draagt bij aan de koolstofcyclus en de biodiversiteit in de oceanen.,,,,,,,,,,,,"""<p>Some CHROMISTA use photosynthesis to convert light into energy, releasing oxygen. But the phycobiliproteins that characterizes them is the brown red that is not found in other kind of plants.</p> <p> They can be very small (like the unicellular cells that form plankton) or very large (like the Sargassos, tens of meters long).</p>"""
