file_name,add,Domain,Phyla,CARD,CAT,Comment,HORTUS,Latin_name,CAT_Description,description,link,video,ITA_names,ITA_descr,CAT_ITA_descrizione,Number,NL,NL_descriptie,CAT_NL_descriptie,English_name
1-covid-19,Virus,Virus,,Micro-Macro,CAT,,,SARS-CoV-2,"""<p>Viruses are not alive: they do not have cells, cannot turn food into energy, and without a host, they are just a bunch of chemicals.</p> <p> Viruses are not exactly dead, either: they have genes, reproduce, and evolve through natural selection.</p>""","""<p>It has been identified for the first time in 2019 in Wuhan (China,) and it spread quickly in the whole world causing the fastest spreading pandemic ever registered.</p> 
<p>In 2020 several vaccines have been found, starting the fastest and biggest vaccine campaign ever set up!</p>""",https://www.ted.com/talks/kaitlyn_sadtler_and_elizabeth_wayne_how_the_covid_19_vaccines_were_created_so_quickly?language=en,https://www.youtube.com/watch?v=v-NEr3KCug8,Covid,"""Individuato per la prima volta nel 2019 a Wuhan (Cina) e diffusosi rapidamente in tutto il mondo provocando la pandemia a più rapida diffusione mai registrata. Nel 2020 sono stati trovati diversi vaccini, dando il via alla campagna vaccinale più veloce e più grande mai messa in atto.""","I virus non sono vivi: non hanno cellule, non possono trasformare il cibo in energia e, senza un ospite, sono solo pacchetti inerti di sostanze chimiche. I virus non sono neanche esattamente morti: hanno geni, si riproducono ed evolvono attraverso la selezione naturale.",1,Covid,"""<p>Voor het eerst geïdentificeerd in 2019 in Wuhan (China), waarna het zich zo snel over de wereld verspreidde dat het de snelst verspreidende pandemie is die ooit is geregistreerd.</p> ""","“<p>Virussen leven niet: ze hebben geen cellen, kunnen geen voedsel omzetten in energie en zonder gastheer zijn het gewoon een hoop chemische stoffen. </p> <p>Virussen zijn ook niet echt dood: ze hebben genen, planten zich voort en evolueren door natuurlijke selectie.</p>”",Covid
2-tobacco-mosaic-virus,Virus,Virus,,Micro-Macro,Virus,,,TMV,,"'<p>This is the first virus ever identified!</p>
<p>In 1882 the disease was isolated and seen that could be transmitted to healthy tobacco plants from diseased plants.</p>
<p>In 1892 it was demonstraed that the disease could pass through a bacteria-retaining filter and so that the cause was smaller of the bacteria: it has been called virus.</p>''",https://www.youtube.com/watch?v=l6hig9Ii-sY,https://www.youtube.com/watch?v=l6hig9Ii-sY,Mosaico del Tabacco,"Questo è stato il primo virus mai identificato! 
Nel 1882 fu isolata la malattia che poteva essere trasmessa alle piante di tabacco sane inoculando un brodo di piante malate attraverso tubicini di vetro capillari.
Nel 1892 fu dimostrato che la malattia poteva passare attraverso un filtro che tratteneva i batteri e che quindi la causa era più piccolo dei batteri: fu chiamato virus.",,2,Tabaksmozaïeksvirus,“<p>Dit is het eerste virus dat ooit is geïdentificeerd! <p> <p>In 1882 werd de ziekte geïsoleerd en werd gezien dat deze van zieke tabaksplanten kon worden overgedragen op gezonde tabaksplanten.</p> <p> In 1892 werd aangetoond dat de ziekte door een bacteriefilter kon en dat de oorzaak dus kleiner was dan de bacteriën: het werd virus genoemd.</p>”,,Tobacco mosaic virus
3-teseptimavirus-bacteriophagae,Virus,Virus,,Micro-Macro,Virus,,,Teseptimavirus,,"""<p>Viruses that eat bacteria, called bacteriophages are among the most common and diverse viruses. Scientists use them as an alternative to antibiotics.</p> <p> Some of them have size, genes, and complexity considered typical of life. Because of this, they seem to blur the line between viruses and life itself!</p>""",https://www.youtube.com/watch?v=l6hig9Ii-sY,https://www.youtube.com/watch?v=l6hig9Ii-sY,Mangiatore di Batteri,"""Sono tra le entità più comuni e diverse. 
Sono usati sin dal 20° secolo come alternativa agli antibiotici.
Centinaia di loro hanno dimensioni, geni e complessità considerati tipici della vita, offuscando il confine tra microbi viventi e macchine virali.""",,3,Bacteriofaag,"""<p>Ze behoren tot de meest voorkomende en meest diverse virussen. Ze worden gebruikt als alternatief voor antibiotica. </p> <p>Honderden ervan hebben de grootte, genen en complexiteit die als typisch voor het leven worden beschouwd, waardoor de grens tussen levende microben en virale machines vervaagt.</p>""",,Bacteriophagae
4-archea-procatiota-Pyrococcus-furiosus,Prokaryote,Archea,Archea,Micro-Macro,Archea-Bacteria-Protozoa,,,Pyrococcus furiosus,"""<p>They are single cell organisms.</p> 
<p>They are the most similar to the first-ever species that lived on Earth.</p>""","""<p>Aquatic, its optimum growth temperature is 100°C: boiling water that would destroy most living things.</p> <p> They live super close to the underwater volcanic vents, like the first organisms that ever existed.</p>""",https://www.researchgate.net/publication/313848564_'_Pyrococcus_furiosus_30_years_on',https://www.youtube.com/watch?v=_MR_Nkwg8FU,Palla di fuoco impetuosa,"""Palla di fuoco impetuosa è acquatico, la sua temperatura ottimale di crescita è di 100°C: l’acqua bollente che distruggerebbe la maggior parte degli esseri viventi. Vivono bene vicino alle bocche vulcaniche sottomarine, come i primi organismi mai esistiti.""","Archea: costituiti da un’unica cellula, sono i più simili alle prime specie mai vissute sulla Terra.",4,Pyrococcus furiosus,"""<p>Aquatisch, zijn optimale groeitemperatuur is 100°C: kokend water dat de meeste levende wezens zou vernietigen.</p> <p> Ze leven superdicht bij vulkaankraters, net als de eerste organismen die ooit hebben bestaan.</p>""",,Rushing fireball
5-eubatteria-procatiota-spirochaeta-thermphila,Prokaryote,Bacteria,Spirochaetota,Micro-Macro,Archea-Bacteria-Protozoa,,,Spirochaeta thermophila,"""<p>Oxygen on Earth was first produced by BACTERIA through a process called photosynthesis that uses water, carbon dioxide and the energy from the Sun.</p>""","""<p>Aquatic, its optimum growth temperature is 68°C, still super hot.</p> <p> The name comes from the shape, because it looks really like a long spiral.</p>""",https://www.youtube.com/watch?v=W70l5UE6Om4,https://www.youtube.com/watch?v=W70l5UE6Om4,Spirobatteri amanti del calore,"""Gli Spirochaeta thermophila Acquatici, la temperatura ottimale di crescita è di 68°C, ancora molto calda. Il nome deriva dalla forma, perché sembra proprio una lunga spirale.""","Ibatteri L’ossigeno sulla Terra è stato prodotto per la prima volta dai batteri attraverso un processo chiamato fotosintesi che utilizza acqua, anidride carbonica e l’energia del sole.",5,Warmteminnende bacteriën,"""<p>Aquatisch, zijn optimale groeitemperatuur is 68°C, nog steeds superheet. </p> <p>De naam komt van de vorm, want hij lijkt echt op een lange spiraal.</p>""","'<p>Zuurstof op aarde werd voor het eerst geproduceerd door BACTERIËN via een proces dat fotosynthese heet en dat water, koolstofdioxide en de energie van de zon gebruikt.</p> ''",Heat loving bacteria
6-eubacteria-streptococcus-penumoniae,Prokaryote,Bacteria,Bacillota,Micro-Macro,Archea-Bacteria-Protozoa,,,Streptococcus pneumoniae,,"""<p>It was first discovered by Louis Pasteur in 1881.</p>
<p>Louis Pasteur (1822-1895) was a French biologist, microbiologist and chemist famous for his discoveries. Here are just a few of them:</p>
<p>- the principles of vaccination,</p>
<p>- microbial fermentation</p>
<p>-pasteurization.</p>
<p>His work has saved many lives.</p>""",https://www.youtube.com/watch?v=AboUxEuCGvk,https://www.youtube.com/watch?v=AboUxEuCGvk,Polmonite da streptococco,"""Fu individuato per la prima volta da Louis Pasteur nel 1881.
Louis Pasteur (1822-1895) è stato un biologo, microbiologo e chimico francese famoso per le sue scoperte. Eccone solo alcune:
- i principi della vaccinazione
- la fermentazione microbica
- la pastorizzazione.
Il suo lavoro ha salvato molte vite.""",,6,Pneumokokken,"""<p>Louis Pasteur (1822-1895) was een Franse bioloog, microbioloog en chemicus die beroemd is om zijn ontdekkingen. Hier zijn er een paar van: </p> <p>- de principes van vaccinatie </p> <p>- microbiële fermentatie </p> <p> -pasteurisatie</p> <p> Zijn werk heeft veel levens gered.</p> """,,Pneumonia
7-eubacteria-anabaenopsis-elekinii,,,,Micro-Macro,Archea-Bacteria-Protozoa,,,Anabaenopsis elekinii,,"""<p>They are considered the most primitive groups of photosynthetic bacteria.</p> 
<p>They are everywhere in nature and they also thrive in deserts, hot springs and ice-cold water.</p>""",https://www.youtube.com/watch?v=ea0EHw5suDs,https://www.youtube.com/watch?v=ea0EHw5suDs,Cianobatteri,"""Sono considerati i gruppi più primitivi di batteri fotosintetici.
Sono ovunque in natura e prosperano anche nei deserti, nelle sorgenti calde e nell’acqua ghiacciata.""",,7,Cyano bacteriën,"""<p>Ze worden beschouwd als de meest primitieve groepen fotosynthetische bacteriën.</p> <p> Ze komen overal in de natuur voor en gedijen ook in woestijnen, hete bronnen en ijskoud water.</p>""",,Cyano bacteria
8-Amoeba,,,,Micro-Macro,Archea-Bacteria-Protozoa,,,Pelomyxa palustris,"""<p>Protozoa means first animals in Greek. The name was given because of their animal behaviour and the belief that they are descendants of the earliest or first forms of life.</p> <p> They are small, single-celled organisms, that live in moist environments, such as ponds, swamps, and soils.</p> <p> Some survive themselves, others as parasites of plants or animals.</p>""","""<p>Amoebae do not have a fixed body shape and are similar to a blob of jelly.</p>
<p>By changing its shape, the amoeba creates leg/feet-like extensions of its body, which it uses to move around or gather food.</p>
<p>This particular amoeba can grow up to 5 millimeters!
Luckily it is herbivorous.</p>""",https://www.youtube.com/watch?v=vlANF-v9lb0,https://www.youtube.com/watch?v=vlANF-v9lb0,Ameba,"""Le amebe non hanno una forma del corpo fissa e sono simili a blob di gelatina.
Modificando la propria forma, l’ameba crea estensioni del corpo simili a zampe/piedi, che usa per spostarsi o raccogliere cibo.
Questa ameba in particolare può crescere fino a 5 millimetri!
Per fortuna è erbivora.""","Protozoi in greco significa “primi animali” . Il nome è stato dato a causa del loro comportamento animale e della convinzione che fossero discendenti delle prime forme di vita. Sono piccoli organismi fatti di una sola cellula. Vivono in ambienti umidi, come stagni, paludi nel terreno. Alcuni sopravvivono da soli, altri come parassiti di piante o animali.",8,Amoebe,"""<p>Door zijn vorm te veranderen, creëert de amoebe pootachtige verlengstukken aan zijn lichaam, die hij gebruikt om zich voort te bewegen of voedsel te verzamelen. Deze amoebe kan wel 5 millimeter groot worden! Gelukkig is het een planteneter.</p>""","“<p>Protozoa betekent eerste dieren in het Grieks. De naam werd gegeven vanwege hun dierlijke gedrag en het geloof dat ze afstammen van de vroegste of eerste levensvormen. </p> <p>Het zijn kleine, eencellige organismen die leven in vochtige omgevingen, zoals vijvers, moerassen en bodems. </p> <p>Sommige overleven zelf, anderen als parasieten van planten of dieren.</p>”",Amoeba
9-chanoflagellates,,,,Micro-Macro,Archea-Bacteria-Protozoa,,,Salpingoeca rosetta,,"""<p>They are among the most common groups. They live in fresh and marine water, everywhere in the ground, abundant in polar waters. You can also find them in the deep abysses of the oceans and in the permafrost of Siberia.</p>
<p>So, maybe you’re touching one right now!</p>""",https://www.youtube.com/watch?v=n_tvhnWAZMA,https://www.youtube.com/watch?v=n_tvhnWAZMA,Choanoflagellato,"""Sono tra i gruppi più diffusi. Vivono in acqua dolce e marina, ovunque nel terreno, abbondanti nelle acque polari. puoi trovarli anche negli abissi profondi degli oceani e nel permafrost della Siberia.
Quindi, forse ne stai toccando uno in questo momento!""",,9,Choanoflagellaat,"""<p>Ze behoren tot de meest voorkomende groepen.</p> <p> Ze leven in zoet water en zeewater, overal in de grond, overvloedig in poolwateren. Je vindt ze ook in de diepe afgronden van de oceanen en in de permafrost van Siberië. Dus misschien raak je er nu wel eentje aan!</p>""",,Chanoflagellates
10-Choccolitus-of-the-sea,,,,,red-algae,they don't give points for evooolve but they are very important for the enviroment,,Emiliania huxleyi,"""<p>The name means colorful.</p> <p> Some use photosynthesis to convert light into chemical energy, releasing oxygen. But the phycobiliproteins that characterizes them is the brown red that is not found in other kind of plants.</p> <p>
They can be very small (like the unicellular cells that form plankton) or very large (like the Sargassos, tens of meters long).</p>""","""<p>Coccolitus are some of the most abundant marine phytoplankton, especially in the open ocean, and are extremely abundant as microfossils, forming chalk. </p> <p>They are widely used in the aquaculture industry to feed oyster and shrimp larvae.</p>""",https://www.youtube.com/watch?v=1xl5Z1d3wcQ,https://www.youtube.com/watch?v=1xl5Z1d3wcQ,Plancton vegetale,"""I coccoliti sono alcuni dei plancton vegetali marini più comuni, specialmente nell’oceano.
Sono usati nell’industria dell’acquacoltura come mangime per le larve di ostriche e gamberi.
I loro fossili compressi formano il gesso. ""","Il nome Cromista significa colorato. Alcuni usano la fotosintesi per convertire la luce in energia chimica, rilasciando ossigeno. Ma il cpigmento che li caratterizza è il rosso bruno che non si trova nelle piante. Possono essere piccoli piccoli (come gli unicellulari che formano plancton) o molto grandi (come i Sargassi, lunghi decine di metri).",10,Emiliania huxleyi,"""<p>Coccolithoforen behoren tot de meest voorkomende mariene fytoplankton, vooral in de open oceaan, en zijn extreem overvloedig als microfossielen, die krijt vormen.</p> <p> Ze worden veel gebruikt in de aquacultuurindustrie om oester- en garnalenlarven te voeden.</p>""","“<p>De naam betekent kleurrijk.</p> <p>Sommige maken gebruik van fotosynthese om licht om te zetten in chemische energie, waarbij zuurstof vrijkomt. Maar het pigment dat hen kenmerkt is bruinrood dat niet in planten voorkomt.</p> <p> Ze kunnen heel klein zijn (zoals de eencellige cellen die plankton vormen) of heel groot (zoals de Sargassos, tientallen meters lang).</p>”",Plant Plankton
11-Dilsea-carnosa,,,,,red-algae,they don't give points for evooolve but they are very important for the enviroment,,Dislea carnosa,,"""<p>It is an edible seaweed, often used in soups and jellies.</p>
<p>It lives on rocks in shady pools, up to 25 m below the surface of the sea.
Usually on rocks in kelp forests.</p>""",https://www.outdoorswimmingsociety.com/the-oceans-superfood/,https://www.youtube.com/watch?v=1viKacw_0h8,Stracci rosso,"""È un’alga commestibile, spesso usata in zuppe e gelatine.
Vive sulle rocce in pozze ombrose, fino a 25 m sotto la superficie del mare. 
Di solito sulle rocce nelle foreste di sargassi. """,,11,Dislea carnosa,"""<p>Het is een eetbaar zeewier, dat vaak wordt gebruikt in soepen en gelei.</p> <p> Hij leeft op rotsen in schaduwrijke poelen, tot 25 meter onder het zeeoppervlak. Meestal op rotsen in kelpbossen.</p>""",,Red rags
12-redalgae-callibrepharis-ciliata,,,,,red-algae,they don't give points for evooolve but they are very important for the enviroment,,Calliblepharis ciliata,,"""<p>The scientific name is Calliblepharis ciliata.</p> <p> Calliblepharis is the genus name from Greek, kallos (beauty) & blepharis (eyelash): so beautiful eyelashes.</p> Ciliata is the species name that in Latin means “with eyelashes”. Basically Calliblepharis ciliata means Beautiful Eyelashes with Eyelashes.</p> <p>Silly name, isn’t it?</p>""",https://www.seaweed.ie/descriptions/Calliblepharis_ciliata.html,https://www.youtube.com/watch?v=NrxoXA7talM,Melica ciliata,"""Il nome scientifico è Calliblepharis ciliata. Calliblepharis è il nome del genere dal greco, kallos (bellezza) e blepharis (ciglia): così diventa belle ciglia. Ciliata è il nome della specie che in latino significa “con le ciglia”. Praticamente Calliblepharis ciliata significa “Belle ciglia con le ciglia”. Che nome furbo, eh? ...""",,12,Wimperwier,"""<p>De wetenschappelijke naam is Calliblepharis ciliata. Calliblepharis is de geslachtsnaam uit het Grieks, kallos (schoonheid) & blepharis (wimper): dus mooie wimpers. Ciliata is de soortnaam die in het Latijn “met wimpers” betekent. Eigenlijk betekent Calliblepharis ciliata Mooie Wimpers met wimpers. Gekke naam, nietwaar?""</p>","<p>Ze kunnen heel klein zijn (zoals de eencellige cellen die plankton vormen) of heel groot (zoals de Sargassos, tientallen meters lang).</p>”",Red Fringed seaweed
13-redalgae-kelp-sargassum,,,,Micro-Macro,red-algae,,,Macrocystis pyrifera,,"""<p>They grow in underwater forests in shallow oceans.</p> <p> They are known for their high growth rate, as fast as half a metre a day, ultimately reaching 30 to 80 metres.</p> <p> They are fundamental and support a large number of animals.</p> <p> Sea urchins when uncontrolled can reduce entire kelp areas into deserts. </p> <p>Kelp-derived products is used in products such as ice cream, jelly, salad dressing, toothpaste, soap and glass production. Kelp is also an traditional ingredient in a number of cuisines.</p>"" ",https://www.britannica.com/video/162778/keystone-species-parts-coast-kelp-forest-ecosystem,https://www.youtube.com/watch?v=UmSoTPVOG90,Sargasso,"""Cresce in foreste sottomarine negli oceani poco profondi. Sono noti per la velocita’ con cui crescono, fino a 1/2 metro al giorno, raggiungendo i 30 o anche 80 metri. Sono fondamentali per la vita marina e aiutano tantissimi animali.
La cenere di queste alghe viene utilizzata per produrre sapone e vetro.
Vengono utilizzate per addensare prodotti come gelati, gelatine, condimenti per insalate e dentifrici. Sono anche un ingrediente molto importante nelle cucine di diversi Paesi come Cina, Giappone, Corea e Russia.""",,13,Reuzenkelp,"""<p>Ze groeien in onderwaterbossen in ondiepe oceanen.</p> <p>Ze staan ​​bekend om hun hoge groeisnelheid, tot wel een halve meter per dag, en bereiken uiteindelijk een hoogte van 30 tot 80 meter.</p> <p> Ze zijn van fundamenteel belang en ondersteunen een groot aantal dieren. Zee-egels kunnen hele kelpgebieden in woestijnen laten veranderen.</p> <p>Van kelp gemaakte grondstoffen worden gebruikt in producten zoals ijs, gelei, saladedressing, tandpasta, zeep en glasproductie. Kelp is ook een traditioneel ingrediënt in een aantal keukens.” </p>""",,Kelp
